idx,Year,Player,Pos,School,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Height_inches,Probowl
0,2000.0,Sebastian Janikowski,K,Florida State,260.0,,,,,,,73.0,True
1,2000.0,Jake Arians,K,Alabama-Birmingham,202.0,,,,,,,70.0,False
2,2000.0,Doug Chapman,RB,Marshall,215.0,4.56,38.5,16.0,128.0,6.84,4.2,70.0,False
3,2000.0,Kwame Cavil,WR,Texas,208.0,4.54,39.5,,118.0,,,74.0,False
4,2000.0,Trung Canidate,RB,Arizona,193.0,4.41,,18.0,,,,71.0,False
5,2000.0,Plaxico Burress,WR,Michigan State,231.0,4.59,33.0,,115.0,,,77.0,False
6,2000.0,Marc Bulger,QB,West Virginia,208.0,4.97,,,100.0,7.46,4.34,74.0,True
7,2000.0,Travis Brown,QB,Northern Arizona,218.0,5.01,29.0,,101.0,7.54,4.87,75.0,False
8,2000.0,Tom Brady,QB,Michigan,211.0,5.28,24.5,,99.0,7.2,4.38,76.0,True
9,2000.0,Anthony Becht,TE,West Virginia,270.0,4.78,33.5,,123.0,6.94,4.08,78.0,False
10,2000.0,Darnell Alford,OT,Boston College,334.0,5.56,25.0,23.0,94.0,8.48,4.98,76.0,False
11,2000.0,Danny Farmer,WR,UCLA,217.0,4.58,,,,,,75.0,False
12,2000.0,Deon Dyer,FB,North Carolina,260.0,4.99,28.0,,104.0,7.88,4.81,71.0,False
13,2000.0,Ron Dugans,WR,Florida State,206.0,4.58,,,117.0,,,73.0,False
14,2000.0,Reuben Droughns,RB,Oregon,215.0,4.66,30.0,13.0,115.0,7.34,4.41,71.0,False
15,2000.0,Ron Dayne,RB,Wisconsin,259.0,4.65,,,,,,71.0,False
16,2000.0,JaJuan Dawson,WR,Tulane,199.0,4.55,34.0,,117.0,6.96,4.16,73.0,False
17,2000.0,Casey Crawford,TE,Virginia,244.0,4.83,,18.0,,,,78.0,False
18,2000.0,Laveranues Coles,WR,Florida State,192.0,4.41,34.0,,115.0,6.89,4.39,71.0,True
19,2000.0,Chris Coleman,WR,North Carolina State,211.0,4.61,32.5,,110.0,6.79,4.1,72.0,False
20,2000.0,Chris Cole,WR,Texas A&M,191.0,4.37,37.5,,125.0,6.76,4.09,72.0,False
21,2000.0,Chad Clifton,OT,Tennessee,334.0,5.05,30.5,24.0,102.0,7.58,4.73,77.0,True
22,2000.0,Shaun Alexander,RB,Alabama,218.0,4.58,,,,,,72.0,True
23,2000.0,J.R. Redmond,RB,Arizona State,216.0,4.48,32.5,,121.0,,,71.0,False
24,2000.0,Tutan Reyes,OT,Mississippi,299.0,5.37,26.5,20.0,99.0,7.49,4.88,75.0,False
25,2000.0,Jay Tant,TE,Northwestern,255.0,4.75,,31.0,,,,75.0,False
26,2000.0,Travis Taylor,WR,Florida,199.0,4.43,37.0,,118.0,7.15,,73.0,False
27,2000.0,Michael Thompson,OT,Tennessee State,305.0,5.28,26.0,16.0,104.0,7.99,4.73,76.0,False
28,2000.0,Todd Wade,OT,Mississippi,326.0,5.22,27.5,29.0,101.0,7.68,4.68,80.0,False
29,2000.0,Troy Walters,WR,Stanford,171.0,4.55,32.5,,106.0,6.61,3.84,66.0,False
30,2000.0,Peter Warrick,WR,Florida State,194.0,4.58,,,,,,71.0,False
31,2000.0,James Whalen,TE,Kentucky,228.0,4.78,31.0,,110.0,7.42,4.22,74.0,False
32,2000.0,Austin Wheatley,TE,Iowa,254.0,4.66,32.5,,121.0,6.97,4.18,76.0,False
33,2000.0,Dez White,WR,Georgia Tech,218.0,4.62,37.5,,124.0,6.91,4.09,73.0,False
34,2000.0,Michael Wiley,RB,Ohio State,193.0,4.5,,,,,,71.0,False
35,2000.0,Bobbie Williams,OT,Arkansas,332.0,5.26,29.0,28.0,97.0,7.78,4.72,76.0,False
36,2000.0,James Williams,WR,Marshall,180.0,4.59,36.0,,123.0,7.22,4.16,71.0,True
37,2000.0,Spergon Wynn,QB,Texas State,229.0,4.91,34.0,,108.0,7.71,4.59,75.0,False
38,2000.0,Shyrone Stith,RB,Virginia Tech,204.0,4.6,35.0,13.0,111.0,7.14,4.14,67.0,False
39,2000.0,Dave Stachelski,TE,Boise State,250.0,4.78,38.0,24.0,115.0,6.84,4.14,75.0,False
40,2000.0,Chris Samuels,OT,Alabama,325.0,5.08,,,,,,77.0,True
41,2000.0,Gari Scott,WR,Michigan State,194.0,4.59,33.5,,119.0,,,72.0,False
42,2000.0,Aaron Shea,FB,Michigan,253.0,4.81,37.5,,114.0,6.72,4.3,76.0,False
43,2000.0,Wes Shivers,OT,Mississippi State,318.0,5.65,22.5,18.0,98.0,8.48,4.81,77.0,False
44,2000.0,Marvel Smith,OT,Arizona State,320.0,5.37,27.5,24.0,100.0,7.87,4.83,77.0,True
45,2000.0,Paul Smith,FB,Texas-El Paso,220.0,4.65,,25.0,,,,71.0,False
46,2000.0,Terrelle Smith,FB,Arizona State,249.0,5.0,32.5,19.0,109.0,8.38,4.85,72.0,False
47,2000.0,R. Jay Soward,WR,Southern California,177.0,4.34,35.0,,124.0,,,69.0,False
48,2000.0,Bashir Yamini,WR,Iowa,191.0,4.53,33.0,,130.0,7.09,4.18,75.0,False
49,2000.0,Chris Redman,QB,Louisville,222.0,5.37,26.5,,98.0,7.8,4.78,75.0,False
50,2000.0,Scottie Montgomery,WR,Duke,196.0,4.57,36.0,,117.0,7.16,4.11,72.0,False
51,2000.0,Brad Meester,C,Northern Iowa,298.0,5.12,34.0,25.0,110.0,7.46,4.43,75.0,False
53,2000.0,Rondell Mealey,RB,LSU,212.0,4.69,33.0,,120.0,6.89,4.15,72.0,False
54,2000.0,Damion McIntosh,OT,Kansas State,328.0,5.31,26.0,23.0,97.0,7.72,4.71,76.0,False
55,2000.0,Chris McIntosh,OT,Wisconsin,315.0,5.39,,28.0,,,,78.0,False
56,2000.0,Stockar McDougle,OT,Oklahoma,361.0,5.5,,24.0,,,,77.0,False
57,2000.0,Kevin McDougal,RB,Colorado State,206.0,4.63,32.0,,108.0,7.08,4.12,71.0,False
58,2000.0,Tee Martin,QB,Tennessee,227.0,4.58,34.5,,113.0,,,74.0,False
59,2000.0,Jamal Lewis,RB,Tennessee,240.0,4.58,,23.0,,,,72.0,True
60,2000.0,Charles Lee,WR,Central Florida,202.0,4.56,35.5,,125.0,7.3,4.25,73.0,False
61,2000.0,Frank Moreau,RB,Louisville,231.0,4.57,36.0,23.0,117.0,,,73.0,False
62,2000.0,Sammy Morris,FB,Texas Tech,221.0,4.65,37.5,23.0,117.0,7.05,4.21,72.0,False
63,2000.0,Tim Rattay,QB,Louisiana Tech,215.0,4.91,25.5,,100.0,7.34,4.21,72.0,False
64,2000.0,Greg Randall,OT,Michigan State,333.0,5.59,26.0,22.0,95.0,8.15,5.13,78.0,False
65,2000.0,Travis Prentice,RB,Miami (OH),225.0,4.5,37.0,23.0,115.0,6.92,4.4,72.0,False
66,2000.0,Jerry Porter,WR,West Virginia,221.0,4.48,,,,,,74.0,False
67,2000.0,Todd Pinkston,WR,Southern Miss,169.0,4.45,,,,,,74.0,False
68,2000.0,Mareno Philyaw,WR,Troy,205.0,4.66,39.5,,129.0,6.93,4.13,74.0,False
69,2000.0,Chad Pennington,QB,Marshall,229.0,4.81,33.5,,111.0,7.12,4.16,75.0,False
70,2000.0,Dennis Northcutt,WR,Arizona,175.0,4.43,37.5,,123.0,6.96,4.04,70.0,False
71,2000.0,Chad Morton,RB,Southern California,182.0,4.5,36.0,18.0,121.0,,,68.0,False
72,2000.0,Sylvester Morris,WR,Jackson State,216.0,4.6,34.5,,119.0,7.06,4.17,75.0,False
73,2000.0,Marcus Knight,WR,Michigan,180.0,4.72,28.5,,106.0,7.11,4.38,73.0,False
74,2000.0,Adrian Klemm,OT,Hawaii,307.0,4.98,,24.0,,,,76.0,False
75,2000.0,Erron Kinney,TE,Florida,272.0,4.9,,,,,,78.0,False
76,2000.0,Joe Hamilton,QB,Georgia Tech,192.0,4.81,,,106.0,,,70.0,False
77,2000.0,Troy Hambrick,RB,Savannah State,237.0,4.66,34.5,21.0,118.0,7.48,4.44,72.0,False
78,2000.0,Mike Green,FB,Houston,253.0,4.78,28.5,25.0,108.0,7.08,4.34,72.0,False
79,2000.0,Trevor Gaylor,WR,Miami (OH),199.0,4.56,37.5,,121.0,7.03,4.29,75.0,False
80,2000.0,Mondriel Fulcher,FB,Miami (FL),253.0,4.85,27.0,18.0,116.0,7.46,4.52,75.0,False
